Course Name,Provider,Level,Prerequisites,Specialization,Duration,URL
Generative AI Full Course – Gemini Pro; OpenAI; Llama; Langchain; Pinecone; Vector Databases & More,freeCodecamp,Beginner,None,Generative AI tools; prompt engineering; ethics,30+ hrs,https://www.youtube.com/watch?v=mEsleV16qdo
Intro to Artificial Intelligence,Stanford University (Udacity),Intermediate,None,AI fundamentals; AI applications,16 weeks (6 hours a week),https://www.udacity.com/course/intro-to-artificial-intelligence--cs271
AIoT Foundations,Udacity (in collaboration with Bosch),Intermediate,Baseline knowledge of AI and IoT concepts,AI + Internet of Things,2 months (6-10hrs/week),https://www.udacity.com/course/aiot-foundations--ud074
AI Fundamentals,Microsoft (Udacity),Beginner,Familiarity with high-level AI concepts; Basic understanding of cloud concepts (Azure; ML workflows),AI workflow for Azure,16 hrs,https://www.udacity.com/course/ai-fundamentals--ud099
Introduction to Machine Learning with Azure,Microsoft (Udacity),Beginner–Intermediate,None,ML fundamentals + Azure tooling,22 hours,https://www.udacity.com/course/introduction-to-machine-learning-using-microsoft-azure--ud00333
Intro to Machine Learning,Udacity,Intermediate,Python; basic statistics & linear algebra,Supervised & unsupervised learning with Python,65hrs total,https://www.udacity.com/course/intro-to-machine-learning--ud120
Machine Learning Interview Preparation,Udacity,Intermediate–Advanced,ML fundamentals; programming skill,ML interview prep: algorithms; problem-solving; mock interviews,4hrs,https://www.udacity.com/course/machine-learning-interview-prep--ud1001
AWS Machine Learning Foundations,AWS (Udacity),Beginner–Intermediate,None (basic Python helpful),ML fundamentals using AWS (SageMaker; DeepRacer; etc.),11hrs,https://www.udacity.com/course/aws-machine-learning-foundations--ud065
Data Science Interview Preparation,Udacity,Intermediate,Python; SQL; statistics; ML basics,Python & SQL practice; ML questions; behavior insights; mock interview,6hrs,https://www.udacity.com/course/data-science-interview-prep--ud944
Intro to Data Analysis,Udacity,Intermediate,Basic Python,Data cleaning; exploration; visualization with Python,20hrs,https://www.udacity.com/course/intro-to-data-analysis--ud170
Agentic AI and AI Agents: A Primer for Leaders,Vanderbilt University (Coursera),Beginner,None,Differentiating AI agents vs automation; building simple custom GPTs; practical decision frameworks,5hrs,https://www.coursera.org/learn/agentic-ai?specialization=ai-agents-for-leaders
Data Analysis with R,Udacity,Beginner–Intermediate,None,Exploratory Data Analysis + visualization using R,23hrs,https://www.udacity.com/course/data-analysis-with-r--ud651
Data Structures & Algorithms Interview Prep,Udacity,Intermediate–Advanced,Programming experience and basic Data Structures and Algorithms knowledge,Practical interview problems and review,2hrs,https://www.udacity.com/course/data-structures-and-algorithms-interview-prep--cd13172
Secure and Private AI,Udacity (in partnership with Facebook AI),Advanced,ML/DL knowledge; PyTorch; and Python,Federated Learning; Differential Privacy; Encrypted ML,120hrs (8hrs),https://www.udacity.com/course/secure-and-private-ai--ud185
Sample-based Learning Methods,University of Alberta,Intermediate,Python; basic math (linear algebra; probability; and calculus); familiarity with Reinforcement learning concepts,Reinforcement learning,22hours,https://www.coursera.org/learn/sample-based-learning-methods
Ethics of AI,University of Helsinki,Beginner,None,AI ethics; transparency and accountability,N/A,https://ethics-of-ai.mooc.fi/
AI Technology for Marketing Optimization,Davidson College and Galileo University (edX),Beginner to Intermediate (designed for marketing professionals),None,AI for marketing. Applications of predictive analytics; real-time optimization; natural language processing (NLP); and neural networks.,3 weeks; 3-5 hours a week,https://www.edx.org/learn/business-management/davidson-and-galileo-ai-technology-for-marketing-optimization
The Future of Work: Preparing for Disruption,World Bank Group (edX),Beginner,None,How A.I.; automation; advanced technologies and new businesses are changing the world.,5 weeks; 3-5 hours a week,https://www.edx.org/learn/future-work/world-bank-group-the-future-of-work-preparing-for-disruption
Machine Learning I Building Large Language Models (LLMs),Stanford University Online,Beginner-Intermediate,None,Building a ChatGPT-like model; covering both pretraining (language modeling) and post-training (SFT/RLHF),~2hrs,https://www.youtube.com/watch?v=9vM4p9NN0Ts
Language Modeling from Scratch,Stanford University Online,Beginner-Intermediate,None,AI modelling; LLM,~1hr,https://www.youtube.com/watch?v=Rvppog1HZJY
Overview of Transformers,Stanford University Online,Beginner-Intermediate,None,History of NLP; Transformers and how they work; and their impact,~1hr,https://www.youtube.com/watch?v=JKbtWimlzAE
On the Biology of a Large Language Model,Stanford University Online (Josh Batson of Anthropic),Beginner-Intermediate,None,NLP; The physics of LLMs: shedding light on AI hallucination; planning; reasoning; (un)faithfulness; and emergent capabilities,~1hr,https://www.youtube.com/watch?v=vRQs7qfIDaU
Generative AI for Healthcare (Part 1): Demystifying Large Language Models,Stanford University Online,Beginner-Intermediate,None,Introduces healthcare professionals to large language models (LLMs) like ChatGPT,~1hr,https://www.youtube.com/watch?v=eLAq8yzvu8Q
Become an AI-Powered People Manager,LinkedIn Learning,Beginner,None,Generative AI for management. AI for business,~1hr,https://www.linkedin.com/learning/become-an-ai-powered-people-manager
Everyday AI concepts,LinkedIn Learning,Beginner,None,Key AI concepts for business,~1hr,https://www.linkedin.com/learning/everyday-ai-concepts
Introduction to Artificial Intelligence,LinkedIn Learning,Beginner,None,Human-AI collaboration and engaging with AI systems effectively,2hrs,https://www.linkedin.com/learning/introduction-to-artificial-intelligence-24947908
AI Fluency: Framework & Foundations,Anthropic,Beginner,None,Learn to collaborate with AI systems effectively; efficiently; ethically; and safely,3-4hrs,https://www.anthropic.com/ai-fluency
Prompt Evaluation,Anthropic (GitHub),Advanced,None,Workflow implementation with the Anthropic API,N/A,https://github.com/anthropics/courses/blob/master/prompt_evaluations/README.md
Real-world Prompting,Anthropic (GitHub),Advanced,Experienced developers; prompt engineering basics,Prompt engineering,N/A,https://github.com/anthropics/courses/blob/master/real_world_prompting/README.md
Prompt Engineering Interactive Tutorial,Anthropic (GitHub),Advanced,Experienced developers; prompt engineering basics,Prompt engineering,N/A,https://github.com/anthropics/courses/blob/master/prompt_engineering_interactive_tutorial/README.md
Artificial Intelligence for Beginners,Microsoft,Beginners,None,TensorFlow and PyTorch; AI ethics; Neural networks; Neural architecture; Genetic algorithms; and multi-agent systems,12 weeks,https://github.com/microsoft/ai-for-beginners
Introduction to AI for Business Users,Microsoft Learn,Beginners,None,AI in Power BI & Power Platform for business insights and automation,2hrs,https://learn.microsoft.com/en-us/training/paths/introduction-ai-for-business-users
Machine Learning for Beginners,Microsoft (GitHub),Beginners,None,Classic ML: regression; classification; clustering; NLP; time-series; RL,12 weeks,https://github.com/Microsoft/ML-for-Beginners
Data Science for Beginners,Microsoft (GitHub),Beginners,Basic computer skills; editor or notebook familiarity,Python data manipulation; visualization; data science lifecycle; generative AI module,10 weeks,https://github.com/microsoft/Data-Science-For-Beginners/blob/main/1-Introduction/01-defining-data-science/README.md
Generative AI for Beginners (Version 3),Microsoft (GitHub),Beginners,Basic coding skills + GitHub account; optional cloud/API setup,21 lessons on gen-AI: LLMs; prompt engineering; app building; agents; open-source; fine-tuning; UX; security,Self-paced,https://github.com/microsoft/generative-ai-for-beginners/tree/main
AI Agents for Beginners,Microsoft (GitHub),Beginners,Python 3.12+; GitHub account; Azure optional,Agentic AI: design patterns; tool use; RAG; multi-agent; production,Self-paced,https://github.com/microsoft/ai-agents-for-beginners
Model Context Protocol (MCP) for Beginners,Microsoft (GitHub),Beginner,Basic knowledge of C#; Java; or Python; Understanding of client-server model and APIs; (Optional) Familiarity with machine learning concepts,Learn MCP with Hands-on Code Examples in C#; Java; JavaScript; Python; and TypeScript,Self-paced,https://github.com/microsoft/mcp-for-beginners
Microsoft Azure AI Fundamentals: Computer Vision,Microsoft Learn,Beginner,Basic ability to navigate the Azure portal; Prior exposure to cloud concepts and client-server apps is helpful,Computer Vision; Facial Recognition; OCR via Azure Cognitive Services,2hrs,https://learn.microsoft.com/en-us/training/paths/explore-computer-vision-microsoft-azure/
Deep Learning (An MIT Press book),Ian Goodfellow and Yoshua Bengio and Aaron Courville,Advanced,Applied Maths,Machine learning basics; Deep learning research,N/A,https://www.deeplearningbook.org/
Sora Tutorials,OpenAI,Beginner,Access to Sora (via ChatGPT Plus/Pro),AI video creation & editing: storyboard; recut; remix; blend; loop,1–3 min per tutorial,https://academy.openai.com/public/collections/sora-tutorials-2025-03-11
Introduction to ChatGPT Edu: Your AI-Powered Academic Companion,OpenAI,Beginner,None,Deploying and adapting ChatGPT Edu campus-wide; teaching; tutoring; admin; productivity,~1 hour,https://academy.openai.com/public/collections/chatgpt-on-campus-2025-03-20
Intro to AI for K-12 Educators,OpenAI,Beginner,None,Foundational AI literacy for teaching & classroom use,~1 hour,https://academy.openai.com/public/videos/intro-to-ai-for-k-12-educators-2025-04-01
Organization and Automation: Managing Time and Tasks with AI,OpenAI,Beginner,None,AI-driven time and task management; custom GPTs and agentic automation,~18 mins,https://academy.openai.com/public/videos/organization-and-automation-managing-time-and-tasks-with-ai-2025-03-20
Intro to OpenAI API,codecademy,Beginner,None,Intro to OpenAI GPT API: endpoints; prompts; controlling output,<1hr,https://www.codecademy.com/learn/intro-to-open-ai-gpt-api
Learn How to Use AI for Coding,codecademy,Beginner,None (Basic programming knowledge is helpful),Prompt-based coding assistance and AI-driven development pipelines,~1 hour,https://www.codecademy.com/learn/prompt-engineering-for-software-engineers
Generative AI on AWS: Creating Intelligent Chatbots,codecademy,intermediate,Prior familiarity with cloud services; Some understanding of AI concepts and Python or other scripting,Context-aware conversations; sentiment analysis; and integration with high-security standards.,1hr,https://www.codecademy.com/learn/ext-courses/generative-ai-on-aws-creating-intelligent-chatbots
Using OpenAI APIs: Accessing OpenAI APIs from Python,codecademy,Beginner,None,How to integrate OpenAI's chat and completions APIs using Python and cURL,2hrs,https://www.codecademy.com/learn/ext-courses/using-openai-apis-accessing-openai-apis-from-python
Intro to AI Transformers,codecademy,Intermediate,Hugging Face; PyTorch; and neural networks,Transformer fundamentals; GPT‑2 text generation; BERT sentiment analysis,2hrs,https://www.codecademy.com/learn/intro-to-ai-transformers
Applied AI: Building NLP Apps with Hugging Face Transformers,LinkedIn Learning,Intermediate,General ML and deep learning understanding; Knowledge of NLP concepts; Proficiency in Python; Jupyter Notebooks; and frameworks.,Building NLP apps: QA; summarization; generation; model fine-tuning; deployment,~1hr,https://www.linkedin.com/learning/applied-ai-building-nlp-apps-with-hugging-face-transformers
AI Text Summarisation with Hugging Face,LinkedIn Learning,Advanced,Solid understanding of AI/ML fundamentals; Comfortable with Python programming,Full-text summarization: extractive & abstractive; model pipelines; fine-tuning,2hrs,https://www.linkedin.com/learning/ai-text-summarization-with-hugging-face
AI: MLOps Tools: MLflow and Hugging Face,edX,Beginner,Basic familiarity with machine learning concepts and Python programming. This AI course is part of a professional certificate series,MLflow; Hugging Face; foundational instruction on CI/CD; containerization,4 weeks (3–6 h/week),https://www.edx.org/learn/computer-science/pragmatic-ai-labs-mlops-tools-mlflow-and-hugging-face
Open Source Models with Hugging Face,DeepLearning.ai,Beginner,None,Building multimodal AI apps using open-source models + deployment,2hrs,https://www.deeplearning.ai/short-courses/open-source-models-hugging-face/
Hugging Face MCP course,Hugging Face,Intermediate,Basic understanding of AI and LLM concepts. Familiarity with software development principles and API concepts. Experience with Python or TypeScript,Model Context Protocol: theory; SDK use; integrations; project-based,5 weeks(~5hrs/week),https://huggingface.co/mcp-course
Prompt Engineering for Everyone,Code Signal,Beginner,None,Introduction to Prompt Engineering.; Text modification (summarization; tone/style preservation); Advanced strategies (chain-of-thought; system prompts; iterative prompting),5hrs,https://codesignal.com/learn/paths/prompt-engineering-for-everyone?utm_campaign=classcentral-courses_Q4_25_
Introduction to Robotics,Stanford University,Intermediate,Solid understanding of linear algebra and matrix operations. Familiarity with dynamics; algorithmic thinking; and basic engineering/math principles .,Spatial descriptions; Forward & inverse kinematics; Jacobians and robot dynamics; Motion planning and trajectory generation; Control strategies; Manipulator design fundamentals,19hrs,https://www.classcentral.com/classroom/youtube-lecture-collection-introduction-to-robotics-54773
Artificial Intelligence for Robotics,Stanford University (Udacity),Intermediate,Programming experience; preferably in Python; Math proficiency; especially linear algebra; probability; and Bayes' theorem .,Probabilistic inference / localization; Search & planning algorithms; Tracking & PID control; Simultaneous Localization and Mapping (SLAM),8 weeks (~6 hours per week),https://www.udacity.com/course/artificial-intelligencefor-robotics--cs373
Robotics Foundations I – Robot Modeling,University of Napoli Federico (edX),Intermediate,Linear algebra; Calculus; Physics; Python programming,Coordinate transformations; Forward/inverse kinematics; Jacobians; Trajectory planning,8 weeks,https://www.edx.org/learn/robotics/universita-degli-studi-di-napoli-federico-ii-robotics-foundations-i-robot-modeling
Introduction To Robotics,MIT OpenCourseWare,Intermediate,Foundational mechanical engineering knowledge,Robot mechanisms & kinematics; Dynamics of multi-body systems; Motion planning & control; Sensors; actuators; embedded systems; and simulation,1hr,https://ocw.mit.edu/courses/2-12-introduction-to-robotics-fall-2005/
